DB 0 MOTIF	POL005.1	DPE
-274.0	0	6
-273.0	0	15
-272.0	0	8
-271.0	0	7
-270.0	1	8
-269.0	0	8.5
-268.0	1	11
-267.0	0	10.5
-266.0	2	10
-265.0	1	3
-264.0	0	11
-263.0	0	10.5
-262.0	0	7.33333
-261.0	0	7
-260.0	0	11.5
-259.0	0	8
-258.0	2	5
-257.0	0	9
-256.0	0	11.5
-255.0	0	9
-254.0	1	10
-253.0	0	7
-252.0	0	9
-251.0	0	7
-250.0	0	10.5
-249.0	0	9
-248.0	0	11
-247.0	0	7
-246.0	0	7
-245.0	1	10.5
-244.0	0	9.5
-243.0	0	7
-242.0	0	11
-241.0	1	13
-240.0	0	8
-239.0	0	11
-238.0	0	9
-237.0	1	9
-236.0	0	6
-235.0	0	5.5
-234.0	1	12
-233.0	0	2
-232.0	0	7
-231.0	2	10.5
-230.0	1	7
-229.0	0	7
-228.0	0	5.5
-227.0	0	8
-226.0	0	13.5
-225.0	1	8.5
-224.0	0	6.83333
-223.0	0	13.5
-222.0	0	5
-221.0	0	6
-220.0	0	11
-219.0	0	11
-218.0	0	5
-217.0	1	18
-216.0	0	10.5
-215.0	0	8.5
-214.0	0	11
-213.0	0	8
-212.0	0	9
-211.0	2	5
-210.0	0	11
-209.0	0	5
-208.0	0	7.5
-207.0	1	8.5
-206.0	0	6.5
-205.0	0	9
-204.0	1	10.5
-203.0	2	7.5
-202.0	0	14.5
-201.0	0	9
-200.0	0	3
-199.0	0	8
-198.0	0	9
-197.0	2	5
-196.0	0	11
-195.0	0	4
-194.0	1	8.33333
-193.0	0	7
-192.0	0	11
-191.0	0	8
-190.0	0	7
-189.0	0	9
-188.0	0	18
-187.0	0	8
-186.0	1	5.83333
-185.0	0	7
-184.0	0	9
-183.0	1	11
-182.0	0	5.5
-181.0	0	7.5
-180.0	0	7.5
-179.0	0	6
-178.0	0	5
-177.0	0	6
-176.0	0	7
-175.0	0	12
-174.0	0	10
-173.0	0	7
-172.0	0	6.5
-171.0	0	7
-170.0	0	5
-169.0	0	8
-168.0	1	16.5
-167.0	0	8
-166.0	0	6
-165.0	0	5
-164.0	1	13
-163.0	0	9
-162.0	0	4.5
-161.0	1	12.5
-160.0	0	6
-159.0	0	8
-158.0	0	4
-157.0	0	8
-156.0	0	8
-155.0	0	8
-154.0	0	8
-153.0	0	10.5
-152.0	0	9
-151.0	0	3
-150.0	1	9
-149.0	0	5
-148.0	0	6
-147.0	1	10.8333
-146.0	0	7
-145.0	0	12
-144.0	0	6
-143.0	0	11
-142.0	1	11
-141.0	0	9
-140.0	0	4
-139.0	0	8.5
-138.0	0	5
-137.0	0	10
-136.0	2	8
-135.0	0	5
-134.0	0	9
-133.0	0	8
-132.0	1	8
-131.0	2	9
-130.0	0	6.5
-129.0	0	11.5
-128.0	0	6.5
-127.0	0	11.5
-126.0	1	10
-125.0	0	7.5
-124.0	1	16
-123.0	0	10
-122.0	0	5.5
-121.0	0	8
-120.0	0	7
-119.0	1	8
-118.0	0	7.5
-117.0	0	14
-116.0	0	8.5
-115.0	0	6
-114.0	0	12
-113.0	0	8.5
-112.0	0	7.5
-111.0	0	6.5
-110.0	0	8.5
-109.0	0	10
-108.0	0	7
-107.0	0	11
-106.0	0	5
-105.0	0	11
-104.0	0	5
-103.0	0	6.5
-102.0	0	7
-101.0	1	8.5
-100.0	0	4
 -99.0	0	11.5
 -98.0	2	8
 -97.0	0	5
 -96.0	1	3
 -95.0	0	10.5
 -94.0	1	3.5
 -93.0	0	9
 -92.0	0	9
 -91.0	0	7
 -90.0	1	7
 -89.0	0	5
 -88.0	0	11
 -87.0	0	6
 -86.0	0	8
 -85.0	1	8
 -84.0	0	15
 -83.0	0	6.5
 -82.0	0	10
 -81.0	0	5
 -80.0	0	7.5
 -79.0	0	5
 -78.0	0	10.5
 -77.0	0	8.5
 -76.0	0	11
 -75.0	0	6
 -74.0	0	6
 -73.0	0	4
 -72.0	0	6
 -71.0	0	8
 -70.0	0	11
 -69.0	1	7
 -68.0	0	4
 -67.0	0	3
 -66.0	0	8.5
 -65.0	0	8.5
 -64.0	0	7
 -63.0	0	5
 -62.0	0	7
 -61.0	0	10
 -60.0	0	10
 -59.0	0	3
 -58.0	1	10.5
 -57.0	0	4.5
 -56.0	0	7
 -55.0	0	9.5
 -54.0	0	12
 -53.0	1	7
 -52.0	1	7
 -51.0	0	7
 -50.0	1	12
 -49.0	0	7
 -48.0	1	7
 -47.0	0	10
 -46.0	0	4
 -45.0	0	6
 -44.0	0	9
 -43.0	0	5
 -42.0	0	9
 -41.0	0	14.5
 -40.0	0	10
 -39.0	0	14
 -38.0	0	8
 -37.0	0	5.5
 -36.0	0	5.5
 -35.0	0	6
 -34.0	0	7
 -33.0	0	11
 -32.0	0	7.5
 -31.0	0	4
 -30.0	0	6
 -29.0	0	4
 -28.0	0	7
 -27.0	0	7
 -26.0	0	14
 -25.0	0	9
 -24.0	1	5
 -23.0	0	12
 -22.0	0	10
 -21.0	0	3
 -20.0	0	6
 -19.0	0	6
 -18.0	0	7
 -17.0	0	12.5
 -16.0	0	5
 -15.0	0	5
 -14.0	0	8
 -13.0	0	8
 -12.0	0	6
 -11.0	0	5
 -10.0	0	3
  -9.0	0	9
  -8.0	0	6.5
  -7.0	0	6
  -6.0	0	5
  -5.0	0	5
  -4.0	0	16
  -3.0	1	8
  -2.0	1	5
  -1.0	0	7
   0.0	0	1
   1.0	0	8
   2.0	0	7
   3.0	0	5
   4.0	0	7
   5.0	0	6.5
   6.0	0	8
   7.0	0	11
   8.0	0	11
   9.0	0	7.5
  10.0	0	3
  11.0	0	11
  12.0	0	5
  13.0	1	4
  14.0	0	10
  15.0	0	3.5
  16.0	0	5
  17.0	0	6
  18.0	0	11
  19.0	0	8
  20.0	0	7
  21.0	0	6.5
  22.0	0	17.5
  23.0	0	1
  24.0	1	9
  25.0	0	6
  26.0	0	8
  27.0	0	12
  28.0	0	10
  29.0	0	6
  30.0	0	3
  31.0	1	5
  32.0	0	6
  33.0	1	4
  34.0	1	4
  35.0	1	7
  36.0	0	3
  37.0	0	9
  38.0	0	9
  39.0	0	8
  40.0	1	7
  41.0	0	6
  42.0	0	4
  43.0	0	6
  44.0	0	4
  45.0	0	6
  46.0	0	5
  47.0	0	2.5
  48.0	0	7
  49.0	0	6
  50.0	0	11
  51.0	0	4
  52.0	1	3
  53.0	0	4
  54.0	1	4
  55.0	0	4
  56.0	0	9
  57.0	0	6
  58.0	0	7
  59.0	1	9
  60.0	0	9
  61.0	0	9
  62.0	0	3
  63.0	0	9.5
  64.0	1	4
  65.0	0	9
  66.0	0	8
  67.0	0	8
  68.0	0	7
  69.0	0	8
  70.0	0	4
  71.0	0	4
  72.0	0	7
  73.0	0	3.5
  74.0	0	4
  75.0	1	5
  76.0	1	11
  77.0	1	2
  78.0	0	8
  79.0	0	5
  80.0	0	5
  81.0	0	6.5
  82.0	2	5
  83.0	0	9
  84.0	0	7
  85.0	0	6
  86.0	0	9
  87.0	0	2
  88.0	0	6
  89.0	0	7
  90.0	0	8.5
  91.0	0	7
  92.0	0	5.5
  93.0	1	2
  94.0	0	8
  95.0	0	8
  96.0	0	5
  97.0	0	13
  98.0	0	2
  99.0	0	4
 100.0	0	9
 101.0	0	7
 102.0	0	3.5
 103.0	0	7
 104.0	0	8.5
 105.0	0	7
 106.0	0	2
 107.0	0	5.5
 108.0	0	9
 109.0	0	10.5
 110.0	0	4
 111.0	0	7
 112.0	0	1.5
 113.0	0	5
 114.0	0	8
 115.0	0	6.5
 116.0	0	3
 117.0	0	6
 118.0	0	4
 119.0	0	9
 120.0	1	9
 121.0	0	5
 122.0	0	5
 123.0	0	7
 124.0	0	6
 125.0	0	5
 126.0	0	7
 127.0	0	9
 128.0	0	4
 129.0	0	4.5
 130.0	0	10
 131.0	0	6.5
 132.0	0	12
 133.0	0	6
 134.0	0	8
 135.0	0	7
 136.0	0	4
 137.0	0	4.5
 138.0	1	7.5
 139.0	0	3
 140.0	0	9
 141.0	0	6
 142.0	0	5
 143.0	0	8
 144.0	0	5
 145.0	0	3
 146.0	0	8
 147.0	0	3
 148.0	0	3
 149.0	0	4
 150.0	0	4
 151.0	0	6
 152.0	0	9
 153.0	0	4.5
 154.0	0	5
 155.0	0	1
 156.0	0	7
 157.0	0	7
 158.0	1	8
 159.0	0	3
 160.0	0	3
 161.0	0	5
 162.0	0	4
 163.0	0	8
 164.0	1	4
 165.0	1	4
 166.0	0	5
 167.0	0	6
 168.0	0	9
 169.0	0	11
 170.0	0	3
 171.0	0	3
 172.0	0	6
 173.0	0	6
 174.0	0	10
 175.0	0	7
 176.0	0	3
 177.0	0	6
 178.0	0	8
 179.0	0	5
 180.0	0	6
 181.0	0	4
 182.0	0	7
 183.0	0	8
 184.0	0	7
 185.0	0	4.33333
 186.0	0	8
 187.0	0	8
 188.0	0	5
 189.0	0	12
 190.0	0	8
 191.0	0	6
 192.0	0	4
 193.0	0	8
 194.0	0	9
 195.0	0	7
 196.0	0	6
 197.0	0	8
 198.0	0	6
 199.0	0	7
 200.0	1	7
 201.0	0	3.5
 202.0	0	5.5
 203.0	0	6
 204.0	0	3
 205.0	0	7.5
 206.0	0	2
 207.0	0	6
 208.0	0	12
 209.0	0	10
 210.0	0	7
 211.0	0	7.5
 212.0	0	1
 213.0	0	5
 214.0	0	2
 215.0	0	5
 216.0	0	6
 217.0	0	6
 218.0	0	3
 219.0	0	4.5
 220.0	0	4.5
 221.0	0	5
 222.0	0	5.5
 223.0	0	6.5
 224.0	1	4.5
 225.0	0	5.5
 226.0	0	4
 227.0	0	4
 228.0	0	2
 229.0	0	7
 230.0	0	3.5
 231.0	0	4.5
 232.0	0	6.5
 233.0	0	6
 234.0	0	4
 235.0	0	3
 236.0	0	3
 237.0	0	6.5
 238.0	0	4
 239.0	0	4
 240.0	0	4
 241.0	0	7
 242.0	0	2
 243.0	0	7
 244.0	0	2
 245.0	0	7
 246.0	0	8
 247.0	0	4
 248.0	0	4
 249.0	0	8.5
 250.0	0	5.5
 251.0	0	2
 252.0	0	3
 253.0	1	8
 254.0	1	8
 255.0	0	8
 256.0	0	2.5
 257.0	0	5
 258.0	1	6
 259.0	0	2.5
 260.0	0	3
 261.0	0	5
 262.0	0	5
 263.0	0	5.33333
 264.0	0	1
 265.0	0	6
 266.0	0	5
 267.0	0	4
 268.0	0	3.5
 269.0	0	6.5
 270.0	0	5.5
 271.0	0	5
 272.0	0	9.5
 273.0	0	5
 274.0	0	6
 275.0	0	2
 276.0	0	3
 277.0	0	2
 278.0	0	3
 279.0	0	2
 280.0	0	4.5
 281.0	0	5
 282.0	0	1
 283.0	0	5.5
 284.0	0	6
 285.0	0	3
 286.0	0	6
 287.0	0	3
 288.0	0	3
 289.0	0	4
 290.0	0	5
 291.0	0	3
 292.0	0	6
 293.0	1	7
 294.0	0	4
 295.0	0	2
 296.0	0	6.5
 297.0	0	2
 298.0	0	4
 299.0	0	1
 300.0	0	0
 301.0	0	5
 302.0	0	3
 303.0	0	3
 304.0	1	5.5
 305.0	0	8
 306.0	1	5
 307.0	0	7
 308.0	0	2
 309.0	0	4
 310.0	1	6
 311.0	0	3
 312.0	0	5
 313.0	0	4
 314.0	0	3
 315.0	0	3
 316.0	0	2
 317.0	0	3
 318.0	0	1
 319.0	0	5
 320.0	0	6
 321.0	0	5
 322.0	0	5
 323.0	0	3
 324.0	0	4
 325.0	0	2
 326.0	0	4
 327.0	0	1
 328.0	0	6
 329.0	0	4
 330.0	0	4
 331.0	0	2
 332.0	0	7
 333.0	0	4
 334.0	0	5
 335.0	0	1
 336.0	0	4
 337.0	0	3
 338.0	0	1
 339.0	0	6
 340.0	1	4
 341.0	0	5
 342.0	0	2
 343.0	0	5
 344.0	0	2.5
 345.0	0	4
 346.0	0	1
 347.0	0	2
 348.0	0	3
 349.0	0	4
 350.0	0	3.5
 351.0	0	2
 352.0	0	2.33333
 353.0	0	4
 354.0	0	0.5
 355.0	0	1
 356.0	0	5
 357.0	0	5
 358.0	0	1
 359.0	0	2
 360.0	1	0
 361.0	0	2
 362.0	0	5
 363.0	0	2
 364.0	0	6
 365.0	0	3
 366.0	0	2
 367.0	0	0
 368.0	0	1.5
 369.0	0	2.5
 370.0	0	1
 371.0	0	4
 372.0	0	2
 373.0	0	5
 374.0	0	1.5
 375.0	0	3
 376.0	1	1
 377.0	0	5
 378.0	0	3
 379.0	0	3
 380.0	0	4
 381.0	0	2
 382.0	0	2
 383.0	0	5
 384.0	0	1
 385.0	0	1
 386.0	0	1
 387.0	0	3
 388.0	0	5.5
 389.0	0	4
 390.0	0	2
 391.0	0	2
 392.0	0	2
 393.0	0	3
 394.0	0	2.5
 395.0	0	1
 396.0	0	3
 397.0	0	4
 398.0	0	2
 399.0	0	1
 400.0	0	4
 401.0	0	2
 402.0	0	3.5
 403.0	0	3
 404.0	0	1
 405.0	0	1
 406.0	0	0
 407.0	0	0
 408.0	1	3
 409.0	0	0
 410.0	0	3
 411.0	0	1.5
 412.0	0	3
 413.0	0	2
 414.0	0	1
 415.0	0	2
 416.0	0	1
 417.0	0	1
 418.0	0	2
 419.0	0	5
 420.0	0	5
 421.0	1	3
 422.0	0	4
 423.0	0	5
 424.0	1	4
 425.0	0	2
 426.0	0	2
 427.0	1	7
 428.0	0	3
 429.0	0	3
 430.0	0	2
 431.0	1	5
 432.0	0	1.5
 433.0	1	2
 434.0	1	1
 435.0	0	1
 436.0	0	0.5
 437.0	0	2
 438.0	0	5
 439.0	0	6
 440.0	0	0
 441.0	0	1
 442.0	0	1
 443.0	0	3
 444.0	0	2
 445.0	0	5
 446.0	0	1
 447.0	0	1
 448.0	0	3
 449.0	0	2
 450.0	0	2
 451.0	0	3
 452.0	0	2.5
 453.0	0	4
 454.0	0	4
 455.0	0	6
 456.0	1	4
 457.0	0	1
 458.0	0	0
 459.0	0	3
 460.0	0	2
 461.0	0	4
 462.0	0	3
 463.0	0	3
 464.0	0	7
 465.0	2	2.5
 466.0	0	2
 467.0	0	4
 468.0	0	0
 469.0	0	1
 470.0	1	1
 471.0	0	2
 472.0	0	3
 473.0	0	1
 474.0	0	3
 475.0	0	2
 476.0	0	2.5
 477.0	0	1
 478.0	0	4
 479.0	0	6
 480.0	0	4
 481.0	0	5
 482.0	0	3
 483.0	0	0
 484.0	0	4
 485.0	0	3
 486.0	0	1
 487.0	0	4
 488.0	0	1
 489.0	0	1
 490.0	0	1
 491.0	0	2
 492.0	1	1
 493.0	0	4
 494.0	0	2
 495.0	0	3
 496.0	0	2
 497.0	0	2
 498.0	0	1
 499.0	0	4
 500.0	0	1
 501.0	0	4
 502.0	0	3
 503.0	0	2
 504.0	0	7
 505.0	0	4
 506.0	0	1
 507.0	0	3
 508.0	0	4
 509.0	0	3
 510.0	0	3
 511.0	0	3
 512.0	1	3.5
 513.0	1	3.5
 514.0	0	1
 515.0	0	2
 516.0	0	0
 517.0	0	1
 518.0	0	3
 519.0	0	4
 520.0	0	4
 521.0	0	1
 522.0	0	3
 523.0	0	3
 524.0	0	1
 525.0	0	1
 526.0	0	2
 527.0	0	1
 528.0	0	1
 529.0	0	3.5
 530.0	0	4
 531.0	0	5
 532.0	1	5
 533.0	0	5
 534.0	0	3
 535.0	0	7
 536.0	1	3
 537.0	0	3
 538.0	0	2
 539.0	0	3
 540.0	0	3
 541.0	0	3
 542.0	0	3
 543.0	0	5
 544.0	0	3
 545.0	0	5
DB 0 MOTIF	POL002.1	INR
-545.5	1	6
-544.5	0	14.5
-543.5	0	13.5
-542.5	0	7.5
-541.5	0	11.5
-540.5	0	12
-539.5	0	5.5
-538.5	0	10
-537.5	3	13
-536.5	0	5.5
-535.5	0	11
-534.5	0	13
-533.5	0	12
-532.5	0	10
-531.5	1	6
-530.5	0	18
-529.5	0	5
-528.5	0	5
-527.5	0	19
-526.5	0	8.5
-525.5	1	10
-524.5	0	13
-523.5	0	11.5
-522.5	1	11
-521.5	0	9
-520.5	0	7.5
-519.5	1	12.5
-518.5	0	11
-517.5	0	8.5
-516.5	0	10.5
-515.5	0	7.5
-514.5	1	8
-513.5	2	11
-512.5	1	10
-511.5	0	8
-510.5	1	13
-509.5	0	7.5
-508.5	0	6.5
-507.5	0	10
-506.5	0	7
-505.5	0	7
-504.5	0	6.5
-503.5	0	11
-502.5	0	11.5
-501.5	1	11
-500.5	0	13
-499.5	1	9.33333
-498.5	0	12.5
-497.5	2	7
-496.5	0	5.2
-495.5	0	10
-494.5	0	11
-493.5	0	6.5
-492.5	0	10
-491.5	0	15
-490.5	0	7.5
-489.5	0	6.5
-488.5	0	13
-487.5	2	13.3333
-486.5	1	9
-485.5	0	9.5
-484.5	0	13.5
-483.5	0	10
-482.5	1	10
-481.5	0	12
-480.5	0	11
-479.5	0	8
-478.5	0	8
-477.5	0	6.5
-476.5	0	17
-475.5	0	7.5
-474.5	0	6.5
-473.5	0	10
-472.5	1	12.3333
-471.5	0	5
-470.5	2	12
-469.5	0	8
-468.5	0	9.5
-467.5	0	9
-466.5	1	7.5
-465.5	0	10
-464.5	0	6.5
-463.5	0	13
-462.5	0	10.5
-461.5	1	11
-460.5	0	2.33333
-459.5	0	7.5
-458.5	1	12
-457.5	0	12
-456.5	0	8
-455.5	2	14.5
-454.5	0	15.5
-453.5	0	11
-452.5	0	9.5
-451.5	1	5.5
-450.5	0	7
-449.5	0	11
-448.5	0	8.5
-447.5	0	14.5
-446.5	0	13.5
-445.5	0	10.5
-444.5	0	14.5
-443.5	1	10.5
-442.5	0	15.75
-441.5	0	13.5
-440.5	1	7.5
-439.5	0	9.5
-438.5	1	13.25
-437.5	0	6.5
-436.5	0	14.8333
-435.5	0	10
-434.5	0	6
-433.5	0	12
-432.5	1	7.5
-431.5	1	10
-430.5	1	8.5
-429.5	0	8
-428.5	0	13.5
-427.5	0	9
-426.5	0	12.5833
-425.5	0	3.5
-424.5	1	5
-423.5	0	11.5
-422.5	2	15
-421.5	0	12
-420.5	0	7.83333
-419.5	0.5	10
-418.5	0	15.5
-417.5	0	8.5
-416.5	0	12.3333
-415.5	0	7.5
-414.5	0	3.5
-413.5	1	14.5
-412.5	0	14
-411.5	0	11.5
-410.5	0	8
-409.5	0	12.3333
-408.5	0	13
-407.5	0	11
-406.5	0	13
-405.5	1	12.3333
-404.5	1	3
-403.5	0	10.5
-402.5	0	7.5
-401.5	0	8.83333
-400.5	2	18
-399.5	0	7.5
-398.5	0	9
-397.5	0	12
-396.5	0	10
-395.5	0	19.5
-394.5	0	6
-393.5	0	13.5
-392.5	0	5.5
-391.5	0	15
-390.5	0	7.5
-389.5	0	12
-388.5	1	9
-387.5	0	4.5
-386.5	1.5	9
-385.5	1	13
-384.5	0	10.5
-383.5	1	7.83333
-382.5	1	7.5
-381.5	1	3
-380.5	0	11
-379.5	0	15
-378.5	1	10
-377.5	0	10.3333
-376.5	1	9.5
-375.5	0	4.5
-374.5	0	13.5
-373.5	0	6.5
-372.5	0	6
-371.5	0	16
-370.5	0.5	17
-369.5	2	5
-368.5	1	8.75
-367.5	0	8
-366.5	0	8.5
-365.5	1	4.5
-364.5	0	6.5
-363.5	0	9.5
-362.5	0	11.5
-361.5	0	8
-360.5	0	9
-359.5	0	13.5
-358.5	0	11
-357.5	0	6
-356.5	1	10.5
-355.5	0	6
-354.5	0	9
-353.5	0	5.5
-352.5	0	7.75
-351.5	0	10
-350.5	1	11
-349.5	0	8
-348.5	0	12.5
-347.5	0	7
-346.5	0	13
-345.5	0	10
-344.5	0	8.5
-343.5	0	6
-342.5	0	5
-341.5	0	8
-340.5	0	10.5
-339.5	0	4.5
-338.5	0	7
-337.5	0	10
-336.5	0	14
-335.5	0	11
-334.5	0	7.5
-333.5	1	10.5
-332.5	0	3.5
-331.5	0	13.5
-330.5	0	6
-329.5	0	6.5
-328.5	0	1.5
-327.5	0	11
-326.5	0	8
-325.5	0	9.5
-324.5	0	6
-323.5	0	7.5
-322.5	1	13.5
-321.5	1	11
-320.5	0	8
-319.5	1	12
-318.5	0	7
-317.5	0	9
-316.5	0	8
-315.5	0	8.5
-314.5	0	5.5
-313.5	0	21
-312.5	0	5.83333
-311.5	0	14.3333
-310.5	0	9
-309.5	0	10.5
-308.5	0	7.33333
-307.5	0	6.5
-306.5	0	10
-305.5	1	16.5
-304.5	0	9.83333
-303.5	1	8.5
-302.5	1	6.5
-301.5	1	14.5
-300.5	0	5.5
-299.5	0	7
-298.5	0	8
-297.5	0	5
-296.5	1	6
-295.5	0	13.5
-294.5	2	13
-293.5	0	11
-292.5	0	6
-291.5	0	9.33333
-290.5	0	8.33333
-289.5	0	7
-288.5	0	14.25
-287.5	0	14
-286.5	1	7
-285.5	0	17.25
-284.5	0	6
-283.5	0	6
-282.5	0	13.5
-281.5	0	9
-280.5	0	4
-279.5	0	3
-278.5	0	10.5
-277.5	0	7
-276.5	0	5
-275.5	0	8.5
-274.5	0	11.5
-273.5	0	10
-272.5	0	14.5
-271.5	0	11.8333
-270.5	1	6.125
-269.5	1	10.5
-268.5	0	7
-267.5	0	13.5
-266.5	0	9.125
-265.5	0	12.5
-264.5	0	11
-263.5	0	12
-262.5	0	10.625
-261.5	0	9
-260.5	1	8
-259.5	0	12.5
-258.5	0	14.125
-257.5	0	10
-256.5	0	8
-255.5	0	7
-254.5	0	8.125
-253.5	1	8
-252.5	0	5
-251.5	0	8
-250.5	0	8.125
-249.5	0	12.5
-248.5	0	11.5
-247.5	0	11.5
-246.5	0	8.125
-245.5	0	6
-244.5	0	3.5
-243.5	0	11
-242.5	0	9.125
-241.5	0	13
-240.5	0	8.5
-239.5	0	10
-238.5	0	9
-237.5	0	12.75
-236.5	0	4
-235.5	0	11
-234.5	0	9.33333
-233.5	1	1
-232.5	0	2.5
-231.5	0	10
-230.5	1	9
-229.5	0	10.5
-228.5	0	11.5
-227.5	0	8.5
-226.5	0	8
-225.5	0	5
-224.5	0	8
-223.5	0	7
-222.5	1	13
-221.5	0	4
-220.5	1	7
-219.5	0	8
-218.5	0	4.5
-217.5	0	12.5
-216.5	0	10
-215.5	0	10
-214.5	0	12.5
-213.5	0	8
-212.5	0	9.5
-211.5	0	6.5
-210.5	0	4
-209.5	1	7.5
-208.5	1	9
-207.5	0	4.5
-206.5	0	3
-205.5	0	4
-204.5	0	10.25
-203.5	0	5
-202.5	0	7
-201.5	0	8
-200.5	0	8.5
-199.5	0	8
-198.5	0	10
-197.5	0	15
-196.5	0	4.83333
-195.5	0	9.33333
-194.5	0	15
-193.5	1	8.5
-192.5	0	8.5
-191.5	0	3
-190.5	1	15
